Rank,Rating,Title,No. of Reviews,Genre,Original Language,Director,Release Date (Streaming),Runtime
1.,79%,It Happened One Night,98,"Romance, Comedy",English,FrankCapra,"Dec28, 1999",1h45m
2.,83%,Citizen Kane,121,Drama,English,OrsonWelles,"Feb23, 2010",1h59m
3.,92%,The Wizard of Oz,160,"Fantasy, Musical, Kids&family",English,VictorFleming,"Aug12, 2003",1h41m
4.,100%,Modern Times,109,Comedy,English,CharlieChaplin,"Nov16, 2010",1h29m
5.,90%,Black Panther,525,"Action, Fantasy, Adventure",English,RyanCoogler,"May2, 2018",2h14m
6.,89%,Parasite (Gisaengchung),464,"Drama, Mystery&thriller, Comedy",Korean,BongJoonHo,"Oct11, 2019",2h12m
7.,82%,Avengers: Endgame,547,"Action, Sci-fi, Fantasy, Adventure",English,"AnthonyRusso, JoeRusso","Jul30, 2019",3h1m
8.,96%,Casablanca,124,Drama,English,MichaelCurtiz,"Nov17, 1998",1h42m
9.,82%,Knives Out,468,"Crime, Drama, Mystery&thriller, Comedy",English,RianJohnson,"Jun12, 2020",2h10m
10.,52%,Us,553,"Horror, Mystery&thriller",English,JordanPeele,"Jun4, 2019",1h56m
11.,98%,Toy Story 4,453,"Kids&family, Adventure, Comedy, Fantasy, Animation",English,JoshCooley,"Oct1, 2019",1h40m
12., 99%,Lady Bird,398,"Drama, Comedy",English,GretaGerwig,"Mar6, 2018",1h34m
13., 99%,Mission: Impossible - Fallout,437,"Action, Mystery&thriller, Adventure",English,ChristopherMcQuarrie,"Oct23, 2018",2h27m
14., 98%,BlacKkKlansman,447,"Crime, Drama, Comedy",English,SpikeLee,"Nov6, 2018",2h14m
15., 98%,Get Out,398,"Horror, Mystery&thriller, Comedy",English,JordanPeele,"May23, 2017",1h44m
16., 96%,The Irishman,456,"Crime, Drama",English,MartinScorsese,"Nov27, 2019",3h29m
17., 98%,The Godfather,134,"Crime, Drama",English,FrancisFordCoppola,"May11, 2004",2h57m
18., 94%,Mad Max: Fury Road,434,"Action, Adventure",English,GeorgeMiller,"Sep1, 2015",2h0m
19., 99%,Spider-Man: Into the Spider-Verse,393,"Action, Kids&family, Adventure, Comedy, Fantasy, Animation",English,"BobPersichetti, PeterRamsey, RodneyRothman","Mar19, 2019",1h57m
20., 97%,Moonlight,393,"Drama, Lgbtq+",English,BarryJenkins,"Feb28, 2017",1h51m
21., 93%,Sunset Boulevard,110,Drama,English,BillyWilder,"Nov11, 2008",1h50m
22., 97%,All About Eve,103,Drama,English,JosephL.Mankiewicz,"Feb5, 2004",2h18m
23., 99%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),68,"Horror, Mystery&thriller, Fantasy",German,RobertWiene,"Feb16, 1999",1h9m
